ID,TrophicSpecies,FunctionalGroup,TotalDegree,NumPrey,NumPred,Between,Close,TL,Omn,meanTrophicSimil,TopRole,Habitat
17,Actinauge_longicornis,Cnidaria_benthic,2,1,1,0.2,8.873114463176575e-4,3,0,0.029231433092810042,modspe,NA
18,Polycheria_spp,Amphipoda,6,4,2,3.908333333333333,0.0010384215991692627,2,0,0.10759217262806875,modspe,NA
19,Actinostola_crassicornis,Cnidaria_benthic,7,6,1,6.142857142857143,8.635578583765112e-4,2.833,0.139,0.008984285958398534,modspe,NA
20,Eatoniella_spp,Gastropoda,2,1,1,0.25,9.42507068803016e-4,2,0,0.1143628309176999,modspe,Benthic
21,Liotella_crassicostata,Gastropoda,2,1,1,0.25,9.42507068803016e-4,2,0,0.1143628309176999,modspe,Benthic
22,Odostomia_sp,Gastropoda,5,0,5,0,7.662835249042146e-4,1,0,0.017581556986316943,modspe,Benthic
23,Onoba_spp,Gastropoda,2,1,1,0.25,9.42507068803016e-4,2,0,0.1143628309176999,modspe,Benthic
24,Scissurella_clathrata,Gastropoda,2,1,1,1.1428571428571428,7.473841554559044e-4,2,0,0.01605726922349614,modspe,Benthic
25,Zygochlamys_patagonica,Bivalvia,18,8,10,114.98201065523482,0.0011876484560570072,2.286,0.25,0.07367488973988914,modcon,NA
26,Adelomelon_ancilla,Gastropoda,5,3,2,103.55857843137255,9.000900090009e-4,3.464,0.22,0.01430485122737875,modspe,Benthic
27,Fusitriton_magellanicus,Gastropoda,8,5,3,211.59166666666667,8.532423208191126e-4,3.107,0.017,0.007058311685038365,modspe,Benthic
28,Eurhomalea_sp,Bivalvia,8,4,4,7.479166666666666,8.865248226950354e-4,2,0,0.058744214980363245,modspe,NA
29,Advenogonium_fuegiae,Isopoda,1,1,0,0,9.319664492078285e-4,2,0,0.1800492687249633,modspe,NA
30,Aglaophamus_virginis,Polychaeta,10,5,5,180.68449138674941,0.00101010101010101,3.607,0.368,0.0328600026209671,modspe,Benthic
31,Lumbrineridae,Polychaeta,5,1,4,9.666666666666666,8.764241893076249e-4,3.5,0,0.018264103943630407,modspe,Benthic
32,Orbiniidae,Polychaeta,12,5,7,13.991628959276017,9.99000999000999e-4,2.2,0.16,0.05628415091783241,modspe,Benthic
33,Eteone_spp,Polychaeta,16,11,5,218.71295271102036,0.0011547344110854503,3.166,0.839,0.05966701963965507,modspe,Benthic
34,Syllidae,Polychaeta,8,6,2,8.25,0.001072961373390558,2.167,0.139,0.1043885389478883,modspe,Benthic
35,Alcyonium_antarcticum,Coral,5,3,2,3,9.337068160597573e-4,2,0,0.06098627026130378,modspe,NA
36,Allorostrata_ovalis,Isopoda,1,1,0,0,9.319664492078285e-4,2,0,0.1800492687249633,modspe,NA
37,Allorostrata_scutifrons,Isopoda,1,1,0,0,9.319664492078285e-4,2,0,0.1800492687249633,modspe,NA
38,Tryphosella_sp,Amphipoda,6,3,3,51.076190476190476,9.587727708533077e-4,2.691,1.001,0.029395175342434562,modspe,NA
39,Amblyraja_doellojuradoi,Fish_Chond,26,25,1,16.2156298560911,0.001002004008016032,3.473,0.534,0.019482173576703492,modspe,NA
40,Libidoclaea_granaria,Decapoda,7,1,6,1.3336034375506884,0.0010615711252653928,2,0,0.07207191305412759,modspe,NA
41,Eurypodius_latreillii,Decapoda,6,2,4,0.6428571428571428,9.823182711198428e-4,3.25,0.063,0.04037816351880693,modspe,NA
42,Grimothea_gregaria,Decapoda,33,2,31,30.934415110306503,0.0011574074074074073,2.5,0.25,0.04935330790298731,modspe,NA
43,Sympagurus_dimorphus,Decapoda,4,1,3,0.7149246992877212,0.0010649627263045794,2,0,0.09554152733833823,modspe,NA
44,Campylonotus_vagans,Decapoda,5,1,4,1.3318104170438172,0.001059322033898305,2,0,0.08134546014668043,modspe,NA
45,Patagonotothen_ramsayi,Fish_BenPel,68,49,19,3184.359257780095,0.0011904761904761906,3.508,0.501,0.03637143782095426,modcon,Benthopelagic
46,Natatolana_pastorei,Isopoda,5,1,4,3.458369408369408,9.082652134423251e-4,2,0,0.044703289973082844,modspe,NA
47,Macrochiridothea_stebbingi,Isopoda,1,0,1,0,7.272727272727272e-4,1,0,0.013557421849366593,modspe,NA
48,Onuphis_pseudoiridescens,Polychaeta,2,1,1,0.08815903197925669,9.718172983479105e-4,2,0,0.11936120886310832,modspe,Benthic
49,Pista_spp,Polychaeta,6,1,5,0.5592131936482496,0.0010515247108307045,2,0,0.07997314680759716,modcon,Benthic
50,Terebellides_malvinensis,Polychaeta,5,1,4,0.5592131936482496,0.0010438413361169101,2,0,0.08382857002361616,modcon,Benthic
51,Nicolea_chilensis,Polychaeta,5,1,4,0.5592131936482496,0.0010438413361169101,2,0,0.08382857002361616,modcon,Benthic
52,Thelepus_sp,Polychaeta,7,3,4,5.697458720943905,9.372071227741331e-4,2,0,0.06995182466679165,modcon,Benthic
53,Glycera_spp,Polychaeta,9,4,5,158.88810483143726,0.001049317943336831,3.32,0.713,0.04899286132184591,modspe,Benthic
54,Eunereis_patagonica,Polychaeta,12,7,5,141.45963056878784,0.0011587485515643105,3.057,0.504,0.07392685265179462,modspe,Benthic
55,Nicon_maculata,Polychaeta,12,7,5,141.45963056878784,0.0011587485515643105,3.057,0.504,0.07392685265179462,modspe,Benthic
56,Serpula_spp,Polychaeta,2,1,1,0.5769230769230769,7.874015748031496e-4,2,0,0.02177673054170297,modspe,Benthic
57,Nephtys_sp,Polychaeta,15,7,8,65.89904093158894,0.001160092807424594,2.624,0.63,0.08514610412482267,modspe,Benthic
58,Maldanidae,Polychaeta,3,0,3,0,7.91765637371338e-4,1,0,0.020307412799810947,modspe,Benthic
59,Metepimeria_acanthurus,Amphipoda,2,1,1,1,8e-4,3.25,0,0.008409884823314439,modspe,NA
60,Amblyraja_georgiana,Fish_Chond,23,23,0,0,0.0010482180293501049,3.676,0.525,0.029457718592792035,modcon,NA
61,Doryteuthis_gahi,Cephalopoda,42,5,37,2255.286357263454,9.765625e-4,3.47,0.942,0.03392581205192034,modhub,Pelagic
62,Austrocidaris_canaliculata,Echinodermata,7,2,5,66.125,9.31098696461825e-4,3.167,0.028,0.023702910362997157,modspe,Benthic
63,Austrocidaris_spinulosida,Echinodermata,5,0,5,0,8.084074373484236e-4,1,0,0.017179205304996763,modspe,Benthic
64,Lepidonotothen_squamifrons,Fish_BenPel,16,9,7,109.20888582007022,0.0010030090270812437,3.17,0.835,0.03087174963339647,modspe,Benthopelagic
65,Muraenolepis_spp,Fish_BenPel,10,3,7,61.50573370736871,9.328358208955224e-4,3.857,0.436,0.03165088882505149,modspe,Benthopelagic
66,Patagonotothen_guntheri,Fish_BenPel,63,50,13,1615.644033590453,0.0011560693641618498,3.417,0.402,0.03525956490962819,modcon,Benthopelagic
67,Trophon_ohlini,Gastropoda,14,11,3,200.41237373737374,9.813542688910696e-4,2.571,0.278,0.021434764160514735,modspe,Benthic
68,Trophon_plicatus,Gastropoda,14,11,3,200.41237373737374,9.813542688910696e-4,2.571,0.278,0.021434764160514735,modspe,Benthic
69,Neoserolis_exigua,Isopoda,11,1,10,3.149745056487889,0.0011185682326621924,2,0,0.056338084333423584,modspe,NA
70,Boccardia_sp,Polychaeta,13,7,6,17.838593628593628,0.0011160714285714285,2.314,0.25,0.08031878935196293,modspe,Benthic
71,Eucranta_sp,Polychaeta,4,1,3,0.2865303521451834,0.0010672358591248667,2,0,0.09483810297836451,modspe,Benthic
72,Harmothoe_sp,Polychaeta,14,7,7,130.23052442508597,0.0011574074074074073,2.684,0.927,0.0809581208894992,modcon,Benthic
73,Hermadion_magalhaensi,Polychaeta,2,0,2,0,8.547008547008547e-4,1,0,0.027474852670904135,modspe,Benthic
74,Polydora_sp,Polychaeta,15,10,5,217.2622047397047,0.0010152284263959391,2.726,0.546,0.049548745206140984,modspe,Benthic
75,Spiophanes_sp,Polychaeta,8,3,5,4.327482517482518,0.0010615711252653928,2.733,0.276,0.058304150575123496,modspe,Benthic
76,Euphausia_spp,Zooplankton,56,10,46,496.0455377691641,0.001226993865030675,2.48,0.363,0.051786009676385976,modhub,Pelagic
77,Ampharete_kerguelensis,Polychaeta,8,6,2,5.105257320536863,0.001142857142857143,2.167,0.139,0.1259317285563786,modcon,Benthic
78,Bacteria,Bacteria,35,0,35,0,9.84251968503937e-4,1,0,0.017675898640629472,modspe,NA
79,Anasterias_antarctica,Echinodermata,2,2,0,0,7.173601147776184e-4,3.571,0,0.013871529879552764,modspe,Benthic
80,Halicarcinus_planatus,Decapoda,7,2,5,89.8690697727811,0.0010615711252653928,3.303,1.699,0.054909402876275513,modcon,NA
81,Anasterias_sp,Echinodermata,6,6,0,0,8.726003490401396e-4,3.137,0.736,0.0068906298717838306,modspe,Benthic
82,Pagurus_comptus,Decapoda,15,3,12,22.406360778018048,0.0011655011655011655,2.333,0.222,0.05711008145244495,modspe,NA
83,Pareuthria_spp,Gastropoda,2,0,2,0,8.156606851549756e-4,1,0,0.023039058252263864,modspe,Benthic
84,Turbonilla_strebeli,Gastropoda,2,0,2,0,7.127583749109052e-4,1,0,0.006389813645750322,modspe,Benthic
85,Tonicia_lebruni,Polyplacophora,4,2,2,1.869047619047619,0.0010030090270812437,2.5,0.25,0.0777487553242344,modspe,Benthic
86,Andaniotes_linearis,Amphipoda,1,1,0,0,7.27802037845706e-4,2,0,0.023975801734609746,modspe,NA
87,Anobothrus_sp,Polychaeta,3,1,2,0.2946341720804686,0.0010660980810234541,2,0,0.119878609129826,modcon,Benthic
88,Anthoptilum_grandiflorum,Coral,9,9,0,0,0.0010277492291880781,2.778,0.395,0.06462093093752885,modspe,NA
89,Cyrtostrombidium_sp,Ciliates,12,1,11,6.251948051948053,9.132420091324201e-4,2,0,0.03320370449332621,modspe,Pelagic
90,Laboea_strobila,Ciliates,12,1,11,6.251948051948053,9.132420091324201e-4,2,0,0.03320370449332621,modspe,Pelagic
91,Lohmanniella_sp,Ciliates,12,1,11,6.251948051948053,9.132420091324201e-4,2,0,0.03320370449332621,modspe,Pelagic
92,Strobilidium_sp,Ciliates,12,1,11,59,9.025270758122744e-4,3,0,0.03013811480442391,modspe,Pelagic
93,Strombidinopsis_sp,Ciliates,12,1,11,6.251948051948053,9.132420091324201e-4,2,0,0.03320370449332621,modspe,Pelagic
94,Strombidium_spp,Ciliates,14,1,13,21.157792207792205,9.267840593141798e-4,2,0,0.03393107276884266,modspe,Pelagic
95,Dinoflagellates_heterosol,Dinoflagellates,38,0,38,0,0.0010683760683760685,1,0,0.03227534588916437,modspe,NA
96,Aplidium_spp,Ascidiacea,13,10,3,9.017857142857142,0.0010683760683760685,2.1,0.09,0.08786064739501422,modspe,Benthic
97,Emiliania_huxleyi,Coccolithophorids,22,0,22,0,9.541984732824427e-4,1,0,0.02253883103862816,modspe,NA
98,Phaeocystis_antarctica,Coccolithophorids,20,0,20,0,9.46969696969697e-4,1,0,0.022974529312205127,modspe,NA
99,Azadinium_sp,Dinoflagellates,21,0,21,0,9.615384615384616e-4,1,0,0.02918132345325077,modspe,NA
100,Gymnodinium_sp,Dinoflagellates,27,5,22,182.6436101668599,0.0010319917440660474,2,0,0.041157993980063805,modspe,NA
101,Appendicularia_spp,Zooplankton,11,8,3,128.84154794812565,0.0011123470522803114,2.275,0.229,0.0600459751665339,modcon,Pelagic
102,Synechococcus_sp,Phytoplankton_Misc,7,0,7,0,8.628127696289905e-4,1,0,0.012037241205437116,modspe,NA
103,Arctocephalus_australis,MarineMammals_2,23,23,0,0,9.813542688910696e-4,4.216,0.895,0.042711782402252645,modspe,Land-based
104,Enteroctopodidae,Cephalopoda,28,14,14,427.2950450993964,0.0010121457489878543,3.564,0.312,0.02830994542738572,modspe,Pelagic
105,Dissostichus_eleginoides,Fish_BenPel,54,30,24,2920.980843722728,0.0011123470522803114,3.924,0.937,0.04099511969775954,modhub,Benthopelagic
106,Macrourus_carinatus,Fish_BenPel,17,13,4,50.55709517783055,0.0010111223458038423,4.135,0.457,0.034028088009366374,modspe,Benthopelagic
107,Macrourus_holotrachys,Fish_BenPel,16,10,6,65.89993807468602,9.99000999000999e-4,3.798,0.53,0.036382691598172395,modspe,Benthopelagic
108,Macrourus_whitsoni,Fish_BenPel,6,2,4,0.4179758115682486,8.771929824561404e-4,3.975,0.245,0.030818776521558608,modspe,Benthopelagic
109,Macruronus_novaezelandiae,Fish_BenPel,21,10,11,128.46961788467917,0.0010309278350515464,3.74,0.345,0.04703747888206035,modspe,Benthopelagic
110,Notophycis_marginata,Fish_BenPel,6,0,6,0,8.071025020177562e-4,1,0,0.028053787716094018,modspe,Benthopelagic
111,Patagonotothen_cornucola,Fish_BenPel,8,1,7,1.2997571148347173,9.041591320072332e-4,3,0,0.024668543713592943,modspe,Benthopelagic
112,Patagonotothen_elegans,Fish_BenPel,7,1,6,1.0599910329633722,9.009009009009009e-4,3,0,0.0249514201036934,modspe,Benthopelagic
113,Patagonotothen_kreffti,Fish_BenPel,7,1,6,1.1568999719775745,9.017132551848512e-4,3,0,0.022151423375653758,modspe,Benthopelagic
114,Coelorinchus_fasciatus,Fish_Demersal,16,8,8,154.6655229173812,9.84251968503937e-4,3.484,0.451,0.03748893689611306,modspe,Demersal
115,Coelorinchus_kayomaru,Fish_Demersal,3,0,3,0,7.727975270479134e-4,1,0,0.01399201166512453,modspe,Demersal
116,Coelorinchus_marinii,Fish_Demersal,8,5,3,4.945544863990267,9.813542688910696e-4,3.331,0.666,0.03038777478581716,modspe,Demersal
117,Genypterus_blacodes,Fish_Demersal,17,12,5,101.79801161780158,0.001026694045174538,3.881,0.585,0.047200356037184824,modspe,Demersal
118,Guttigadus_kongi,Fish_Demersal,3,0,3,0,7.77000777000777e-4,1,0,0.015875250410047538,modspe,Demersal
119,Salilota_australis,Fish_Demersal,18,13,5,2504.3331612815064,0.0010141987829614604,4.299,0.389,0.053450848730216965,modspe,Demersal
120,Micromesistius_australis,Fish_Pel,39,15,24,964.6475867483005,0.001049317943336831,3.635,1.219,0.03739035000871993,modhub,Pelagic
121,Sprattus_fuegensis,Fish_Pel,42,17,25,413.09635508154986,0.0011402508551881414,3.454,0.688,0.04724532902019955,modspe,Pelagic
122,Ardenna_gravis,SeaBirds,6,6,0,0,9.090909090909091e-4,3.9,0.916,0.05150854253190573,modspe,Land-based
123,Ardenna_grisea,SeaBirds,6,6,0,0,9.090909090909091e-4,3.9,0.916,0.05150854253190573,modspe,Land-based
124,Poecilosclerida,Porifera,17,12,5,37.66930910715541,0.0011001100110011,2.083,0.076,0.07745594757928408,modspe,Benthic
125,Aristias_antarcticus,Amphipoda,1,1,0,0,7.776049766718507e-4,3.083,0,0.006409100879640102,modspe,NA
126,Colossendeis_megalonyx,Benthos_Misc,8,2,6,300.54186507936504,9.199632014719411e-4,3.786,0.285,0.012957153792526965,modcon,Benthic
127,Asbestopluma_sp,Porifera,3,3,0,0,8.025682182985554e-4,3.861,0.436,0.009794873559926712,modcon,Benthic
128,Larvae_Nauplii,Zooplankton,13,7,6,82.65641769507117,0.00102880658436214,2.286,0.204,0.05522922684186529,modcon,Pelagic
129,Oithona_spp,Copepoda,28,12,16,611.7005159844622,0.001092896174863388,2.51,0.408,0.05282964969713505,modcon,NA
130,Ascidia_meridionalis,Ascidiacea,12,10,2,3.184523809523809,0.0010660980810234541,2.1,0.09,0.09311997847809507,modspe,Benthic
131,Astarte_sp,Bivalvia,9,4,5,10.391666666666666,8.787346221441124e-4,2,0,0.053894384491036416,modspe,NA
132,Astrotoma_agassizii,Echinodermata,11,8,3,53.62063492063491,0.0011325028312570782,2.435,0.334,0.0839194296972435,modcon,Benthic
133,Dictyocha_speculum,Silicoflagellates,18,0,18,0,9.49667616334283e-4,1,0,0.026393663098398547,modspe,NA
134,Puncturella_conica,Gastropoda,4,3,1,9.5,9.900990099009901e-4,2.333,0.222,0.07920424451283721,modspe,Benthic
135,Haplosclerida,Porifera,16,11,5,55.64456370251436,0.001098901098901099,2.091,0.083,0.07630169996355761,modcon,Benthic
136,Austrodoris_sp,Gastropoda,5,1,4,27.954727899832264,9.727626459143969e-4,3.091,0,0.02789317434452291,modspe,Benthic
137,Austrofilius_furcatus,Isopoda,1,1,0,0,9.319664492078285e-4,2,0,0.1800492687249633,modspe,NA
138,Austrofilius_sp,Isopoda,1,1,0,0,9.319664492078285e-4,2,0,0.1800492687249633,modspe,NA
139,Austronanus_dentatus,Isopoda,1,1,0,0,9.319664492078285e-4,2,0,0.1800492687249633,modspe,NA
140,Balaenoptera_acutorostrata,MarineMammals_1,13,13,0,0,9.652509652509653e-4,3.575,0.39,0.04835920336774136,modspe,Pelagic
141,Calanus_spp,Zooplankton,36,16,20,530.0624066460507,0.0012406947890818859,2.5,0.375,0.05800927390254967,modhub,Pelagic
142,Clausocalanus_spp,Zooplankton,27,13,14,157.78134096482484,0.0010526315789473684,2.615,0.391,0.04985741983523333,modspe,Pelagic
143,Ctenocalanus_vanus,Copepoda,29,16,13,125.23736640090817,0.001059322033898305,2.696,0.457,0.05307052557906833,modhub,NA
144,Drepanopus_forcipatus,Copepoda,20,7,13,40.78136571355296,0.00102880658436214,2,0,0.04914388731102919,modspe,NA
145,Neocalanus_tonsus,Copepoda,20,7,13,23.598965628490603,0.001026694045174538,2.327,0.272,0.05604536500598153,modspe,NA
146,Rhincalanus_gigas,Copepoda,29,15,14,145.70578864022693,0.0011325028312570782,2.687,0.375,0.04883859044133145,modhub,NA
147,Grimothea_spinosa,Decapoda,10,0,10,0,8.410428931875525e-4,1,0,0.02046618610228733,modspe,NA
148,Balaenoptera_bonaerensis,MarineMammals_1,10,10,0,0,9.345794392523365e-4,3.634,0.142,0.044778933686613405,modspe,Pelagic
149,Balaenoptera_borealis,MarineMammals_1,12,12,0,0,9.551098376313276e-4,3.487,0.321,0.04585041814424269,modspe,Pelagic
150,Balaenoptera_physalus,MarineMammals_1,12,12,0,0,9.551098376313276e-4,3.487,0.321,0.04585041814424269,modspe,Pelagic
151,Balticina_africana,Cnidaria_benthic,10,9,1,15.73611111111111,0.0010351966873706005,2.778,0.395,0.06029645488504887,modspe,NA
152,Bathybiaster_loripes,Echinodermata,5,4,1,28.249999999999996,0.001004016064257028,3.155,0.453,0.06620599720966386,modspe,Benthic
153,Bathyraja_albomaculata,Fish_Chond,11,10,1,57.14442677035466,9.930486593843098e-4,3.875,0.574,0.033334298123355546,modspe,NA
154,Tinerfe_cyanea,Zooplankton,23,7,16,172.16600271273603,0.0011086474501108647,3.256,0.67,0.04678848183236143,modspe,Pelagic
155,Thymops_birsteini,Decapoda,10,1,9,4.456533101045297,9.560229445506692e-4,3,0,0.028446932232788803,modspe,NA
156,Myxine_spp,Fish_Demersal,10,4,6,18.64469268628568,0.0011185682326621924,2.667,0.444,0.059646833887590525,modspe,Demersal
157,Travisia_kerguelensis,Polychaeta,4,2,2,1.524390243902439,0.0010183299389002036,2.5,0.25,0.0824787877199564,modspe,Benthic
158,Iluocoetes_fimbriatus,Fish_Demersal,10,1,9,3.2857142857142856,9.25925925925926e-4,4.256,0,0.040490415379334455,modspe,Demersal
159,Bathyraja_brachyurops,Fish_Chond,35,33,2,528.1454121582435,0.0010857763300760044,3.99,0.69,0.045139544883404235,modspe,NA
160,Lithodes_confundens,Decapoda,14,8,6,225.69833279827373,0.0010548523206751054,3.194,0.651,0.04297458186957035,modcon,NA
161,Lithodes_couesi,Decapoda,13,8,5,131.95606395600493,0.0010298661174047373,3.194,0.651,0.036777342255340524,modcon,NA
162,Lithodes_turkayi,Decapoda,12,7,5,129.7679687179097,0.0010245901639344263,3.222,0.738,0.035161822586002006,modcon,NA
163,Cottoperca_trigloides,Fish_BenPel,20,16,4,665.7,9.813542688910696e-4,3.995,1.056,0.04753773428301116,modspe,Benthopelagic
164,Argeneuthria_varicosa,Gastropoda,1,0,1,0,7.704160246533128e-4,1,0,0.009799622940788537,modspe,Benthic
165,Odontocymbiola_magellanica,Gastropoda,5,2,3,97.8347147950089,9.057971014492754e-4,3.697,0.169,0.017387593675751413,modspe,Benthic
166,Bathyraja_cousseauae,Fish_Chond,4,4,0,0,8.613264427217916e-4,3.5,0.251,0.009603168737915517,modspe,NA
167,Pagurus_forceps,Decapoda,11,3,8,9.044679522062093,0.0011402508551881414,2.333,0.222,0.060507632522184246,modspe,NA
168,Bathyraja_griseocauda,Fish_Chond,29,28,1,0,0.0010615711252653928,3.989,0.55,0.04737332673586427,modspe,NA
169,Bathyraja_multispinis,Fish_Chond,11,10,1,2,9.149130832570906e-4,3.167,0.362,0.01340130933690604,modspe,NA
170,Bathyraja_scaphiops,Fish_Chond,9,8,1,1,9.881422924901185e-4,4.041,0.192,0.035010911627099885,modspe,NA
171,Psammobatis_rudis,Fish_Chond,5,4,1,0,9.124087591240876e-4,3.773,0.305,0.01626136535707003,modspe,NA
172,Bathyraja_macloviana,Fish_Chond,10,10,0,0,8.928571428571428e-4,3.42,0.545,0.008885405511569293,modspe,NA
173,Bryozoa,Bryozoa,15,3,12,34.65863632534354,0.001072961373390558,2,0,0.0442128800802234,modcon,Benthic
174,Caecianiropsis_ectiformis,Isopoda,1,1,0,0,9.319664492078285e-4,2,0,0.1800492687249633,modspe,NA
175,Rhizosolenia_crassa,Diatoms,8,0,8,0,8.688097306689834e-4,1,0,0.024104220094008377,modspe,NA
176,Calcarea,Porifera,9,9,0,0,9.624639076034649e-4,2.111,0.099,0.07053881435457987,modspe,Benthic
177,Callochiton_puniceus,Polyplacophora,3,2,1,0.6190476190476191,9.99000999000999e-4,2.5,0.25,0.0939703199563907,modspe,Benthic
178,Campanularia_sp,Cnidaria_benthic,2,1,1,0.3333333333333333,9.75609756097561e-4,2,0,0.11205776523469436,modspe,NA
179,Campylaspis_spp,Cumacea,10,9,1,0.7096556571346488,0.0010416666666666667,2.793,0.537,0.06757060697322292,modcon,NA
180,Careproctus_sp,Fish_BenPel,7,6,1,0,0.0011049723756906078,2.901,0.681,0.0655205542415335,modspe,Benthopelagic
181,Convexella_magelhaenica,Coral,14,10,4,21.878968253968246,0.0010471204188481676,2.7,0.41,0.05516555856944261,modspe,NA
182,Ceramaster_patagonicus,Echinodermata,4,4,0,0,7.604562737642585e-4,3.529,0.096,0.01211432041169741,modspe,Benthic
183,Ideogorgia_laurae,Coral,6,3,3,3,0.001026694045174538,2,0,0.0743148370427315,modspe,NA
184,Primnoella_scotiae,Coral,13,9,4,20.736111111111107,0.0010482180293501049,2.778,0.395,0.05206071001087138,modspe,NA
185,Primnoisis_antarctica,Coral,14,11,3,19,0.0010449320794148381,2.636,0.413,0.0709093973386984,modspe,NA
186,Chaetopterus_antarcticus,Polychaeta,1,1,0,0,9.319664492078285e-4,2,0,0.1800492687249633,modspe,Benthic
187,Cheiraster_(Luidiaster)_gerlachei,Echinodermata,4,4,0,0,9.823182711198428e-4,3.469,0.847,0.06858338872019064,modspe,Benthic
188,Ophiacantha_sp,Echinodermata,4,1,3,2,8.756567425569177e-4,3,0,0.01579931664833767,modspe,Benthic
189,Ophiacantha_vivipara,Echinodermata,7,6,1,26.990476190476194,8.726003490401396e-4,3.441,0.052,0.025348344674810834,modspe,Benthic
190,Cirratulidae,Polychaeta,5,2,3,2.5386952177847473,0.001075268817204301,2.5,0.25,0.0837309916506333,modspe,Benthic
191,Cladodactyla_crocea,Echinodermata,3,3,0,0,8.424599831508003e-4,2,0,0.07842194279608532,modspe,Benthic
192,Clathria_spp,Porifera,2,1,1,0,9.551098376313276e-4,2,0,0.12109833075272128,modspe,Benthic
193,Clavularia_sp,Coral,6,4,2,6.283333333333333,9.70873786407767e-4,2.25,0.188,0.07007843430858086,modspe,NA
194,Cnemidocarpa_spp,Ascidiacea,12,10,2,3.184523809523809,0.0010660980810234541,2.1,0.09,0.09311997847809507,modspe,Benthic
195,Eggs_Fish,Zooplankton,9,0,9,0,9.45179584120983e-4,1,0,0.03601257028498963,modspe,Pelagic
196,Sabellidae,Polychaeta,8,6,2,193.51130952380956,0.001076426264800861,2.252,0.317,0.09857986956783586,modcon,Benthic
197,Copepodite,Zooplankton,10,9,1,13.956183650182366,8.539709649871904e-4,2.778,0.395,0.036004313438898934,modspe,Pelagic
198,Coperonus_comptus,Isopoda,2,2,0,0,9.794319294809011e-4,2.5,0.25,0.12712832546633368,modspe,NA
199,Cosmasterias_lurida,Echinodermata,12,12,0,0,8.525149190110827e-4,3.321,0.44,0.011527823605485158,modspe,Benthic
200,Pseudechinus_magellanicus,Echinodermata,9,4,5,100.99588744588745,9.442870632672333e-4,2.5,0.25,0.021146877643780534,modspe,Benthic
201,Schizasteridae,Echinodermata,5,1,4,1.3095238095238093,0.001001001001001001,2,0,0.06670961015271057,modspe,Benthic
202,Sterechinus_agassizii,Echinodermata,6,2,4,57.45378787878788,9.000900090009e-4,3.188,0.009,0.015763229775815724,modspe,Benthic
203,Leptochiton_kerguelensis,Polyplacophora,3,2,1,0.6190476190476191,9.99000999000999e-4,2.5,0.25,0.0939703199563907,modspe,Benthic
204,Leptochiton_medinae,Polyplacophora,3,2,1,0.6190476190476191,9.99000999000999e-4,2.5,0.25,0.0939703199563907,modspe,Benthic
205,Nuttallochiton_hyadesi,Polyplacophora,3,2,1,0.6190476190476191,9.99000999000999e-4,2.5,0.25,0.0939703199563907,modspe,Benthic
206,Nuttallochiton_martiali,Polyplacophora,3,2,1,0.6190476190476191,9.99000999000999e-4,2.5,0.25,0.0939703199563907,modspe,Benthic
207,Agonopsis_chiloensis,Fish_BenPel,4,0,4,0,7.974481658692185e-4,1,0,0.01623477852935363,modspe,Benthopelagic
208,Cottunculus_granulosus,Fish_Demersal,10,10,0,0,9.871668311944718e-4,3.866,0.688,0.03230156329920105,modspe,Demersal
