ID,Prey,PreyGroup,Predator,PredGroup,PredStrategy,FoodSource,Reference,Reference_link,Observation
12,Diatoms_benthic,Diatoms,Abyssianira_spp,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Bacillariophyceae
13,Diatoms_centric,Diatoms,Abyssianira_spp,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Bacillariophyceae
14,Diatoms_pennate,Diatoms,Abyssianira_spp,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Bacillariophyceae
15,Detritus,Non-living,Acanthoserolis_schythei,Isopoda,Deposit-feeder,Detritus,LeBourg_PhDTesis_2020,https://www.researchgate.net/publication/342305523_Trophic_ecology_of_Southern_Ocean_sea_stars_Influence_of_environmental_drivers_on_trophic_diversity,
16,Laetmonice_producta,Polychaeta,Acanthoserolis_schythei,Isopoda,Hunter,Heterotroph,GATEWAy,https://doi.org/10.25829/iDiv.283-3-756,Inferred from Serolidae species
17,Pelagobia_longicirrata,Polychaeta,Acanthoserolis_schythei,Isopoda,Hunter,Heterotroph,GATEWAy,https://doi.org/10.25829/iDiv.283-3-756,Inferred from Serolidae species
18,Polyeunoa_laevis,Polychaeta,Acanthoserolis_schythei,Isopoda,Hunter,Heterotroph,GATEWAy,https://doi.org/10.25829/iDiv.283-3-756,Inferred from Serolidae species
19,Themisto_gaudichaudii,Zooplankton,Acanthoserolis_schythei,Isopoda,Hunter,Heterotroph,GATEWAy,https://doi.org/10.25829/iDiv.283-3-756,Inferred from Serolidae species
20,Porifera *,Porifera,Acodontaster_elongatus,Echinodermata,Hunter,Heterotroph,Encyclopedia of Life,https://eol.org/pages/45328534,* need to be more specific (which Porifera?)
21,Necromass,Non-living,Acodontaster_elongatus,Echinodermata,Scavenger,Necromass,Fraysse_pers.com.,NA,
22,Necromass,Non-living,Acodontaster_sp,Echinodermata,Scavenger,Necromass,Fraysse_pers.com.,NA,
23,Foraminifera,Foraminifera,Actinauge_longicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from Actinauge cristata
24,Ampharete_kerguelensis,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Ampharete,
25,Eteone_sp,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Eteone,* need to be more specific (which Actinopterygii?)
26,Nephtys_sp,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Nephtys,
27,Orbiniidae,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Orbiniidae,
28,Paraonidae,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Paraonidae,
29,Terebellides_malvinensis,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Terebellides,* need to be more specific (which Actinopterygii?)
30,Travisia_kerguelensis,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Travisia,
31,Polycheria_spp,Amphipoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Amphipoda (=< 6 mm)
32,Eatoniella_spp,Gastropoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Gastropoda (< 3 mm)
33,Liotella_crassicostata,Gastropoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Gastropoda (< 3 mm)
34,Odostomia_sp,Gastropoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Gastropoda (< 3 mm)
35,Onoba_spp,Gastropoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Gastropoda (< 3 mm)
36,Scissurella_clathrata,Gastropoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Gastropoda (< 3 mm)
37,Zygochlamys_patagonica,Bivalvia,Adelomelon_ancilla,Gastropoda,Hunter,Heterotroph,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,
38,Fusitriton_magellanicus,Gastropoda,Adelomelon_ancilla,Gastropoda,Hunter,Heterotroph,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,
39,Eurhomalea_sp,Bivalvia,Adelomelon_ancilla,Gastropoda,Hunter,Heterotroph,Encyclopedia of Life,https://eol.org/pages/46469961,
40,Zooplankton *,Zooplankton,Adelomelon_ancilla,Gastropoda,Hunter,Heterotroph,Pastorino_pers.com.,NA,Inferred from Volutidae; * need to be more specific (which Zooplankton?)
41,Detritus,Non-living,Advenogonium_fuegiae,Isopoda,Deposit-feeder,Detritus,Doti_pers.com.,NA,
42,Foraminifera,Foraminifera,Aglaophamus_virginis,Polychaeta,Deposit-feeder,Primary producer,Jumars_etal_2015,https://doi.org/10.1146/annurev-marine-010814-020007,Inferred from Aglaophamus_circinata
43,Amphipoda *,Amphipoda,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Aglaophamus,* need to be more specific (which Amphipoda?)
44,Lumbrineridae,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Aglaophamus,
45,Polynoidae *,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Aglaophamus,* need to be more specific (which Polynoidae?)
46,Orbiniidae,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Orbiniidae,
47,Eteone_aurantiaca,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Phyllodocidae,
48,Eteone_sp,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Phyllodocidae,
49,Syllidae,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Syllidae,
50,Diatoms_benthic,Diatoms,Alcyonium_antarcticum,Coral,Suspension-feeder,Primary producer,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,Inferred from Bacillariophyceae
51,Diatoms_centric,Diatoms,Alcyonium_antarcticum,Coral,Suspension-feeder,Primary producer,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,Inferred from Bacillariophyceae
52,Diatoms_pennate,Diatoms,Alcyonium_antarcticum,Coral,Suspension-feeder,Primary producer,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,Inferred from Bacillariophyceae
53,Phytoplankton *,Phytoplankton,Alcyonium_antarcticum,Coral,Suspension-feeder,Primary producer,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,
54,Detritus,Non-living,Allorostrata_ovalis,Isopoda,Deposit-feeder,Detritus,Doti_pers.com.,NA,
55,Detritus,Non-living,Allorostrata_scutifrons,Isopoda,Deposit-feeder,Detritus,Doti_pers.com.,NA,
56,Tryphosella_sp,Amphipoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
57,Hydrozoa *,Cnidaria,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,* need to be more specific (which Hydrozoa?)
58,Libidoclaea_granaria,Decapoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
59,Eurypodius_latreillii,Decapoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
60,Grimothea_gregaria,Decapoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
61,Sympagurus_dimorphus,Decapoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
62,Campylonotus_vagans,Decapoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
63,Asteroidea *,Echinodermata,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,* need to be more specific (which Asteroidea?)
64,Ophiuroidea *,Echinodermata,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,* need to be more specific (which Ophiuroidea?)
65,Patagonotothen_ramsayi,Fish_BenPel,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
66,Acanthoserolis_schythei,Isopoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
67,Natatolana_pastorei,Isopoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Cirolanidae
68,Macrochiridothea_stebbingi,Isopoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
69,Onuphis_pseudoiridescens,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Onuphis_emerita
70,Pista_sp,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Terebellidae
71,Terebellides_malvinensis,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
72,Nicolea_chilensis,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
73,Thelepus_sp,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
74,Eteone_sp,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Phyllodocidae
75,Glycera_spp,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Glyceridae
76,Eunereis_patagonica,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Nereididae
77,Nicon_maculata,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Nereididae
78,Serpula_spp,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Serpulidae
79,Aglaophamus_virginis,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Nephtyidae
80,Nephtys_sp,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Nephtyidae
81,Lumbrineridae,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
82,Orbiniidae,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
83,Maldanidae,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
84,Metepimeria_acanthurus,Amphipoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
85,Themisto_gaudichaudii,Zooplankton,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
86,Doryteuthis_gahi,Cephalopoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
87,Austrocidaris_canaliculata,Echinodermata,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
88,Austrocidaris_spinulosida,Echinodermata,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
89,Echinoidea *,Echinodermata,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,* need to be more specific (which Echinoidea?)
90,Ophiuroidea *,Echinodermata,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,* need to be more specific (which Ophiuroidea?)
91,Lepidonotothen_squamifrons,Fish_BenPel,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
92,Muraenolepis_marmorata,Fish_BenPel,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
93,Muraenolepis_orangiensis,Fish_BenPel,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
94,Muraenolepis_sp,Fish_BenPel,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
95,Patagonotothen_guntheri,Fish_BenPel,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
96,Trophon_ohlini,Gastropoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
97,Trophon_plicatus,Gastropoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
98,Acanthoserolis_schythei,Isopoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
99,Natatolana_pastorei,Isopoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
100,Neoserolis_exigua,Isopoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
101,Aglaophamus_virginis,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
102,Boccardia_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
103,Eucranta_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
104,Harmothoe_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
105,Hermadion_magalhaensi,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
106,Nephtys_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
107,Polydora_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
108,Polyeunoa_laevis,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
109,Spiophanes_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
110,Copepoda *,Zooplankton,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,* need to be more specific (which Copepoda?)
111,Euphausia_spp,Zooplankton,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
112,Detritus,Non-living,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Detritus,Jumars_etal_2015,https://doi.org/10.1146/annurev-marine-010814-020007,Inferred from Ampharete_arctica
113,Bacteria,Bacteria,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Bacteria,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Ampharete,
114,Ciliophora *,Ciliates,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Ampharete,
115,Foraminifera,Foraminifera,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Primary producer,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Ampharete,
116,Diatoms_benthic,Diatoms,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Primary producer,LeonGonzalez_etal_2009,https://www.researchgate.net/profile/Angel-De-Leon-2/publication/273705391_Poliquetos_Annelida_Polychaeta_de_Mexico/links/59da6d330f7e9b12b36d888b/Poliquetos-Annelida-Polychaeta-de-Mexico.pdf,Inferred from Bacillariophyceae
117,Diatoms_centric,Diatoms,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Primary producer,LeonGonzalez_etal_2009,https://www.researchgate.net/profile/Angel-De-Leon-2/publication/273705391_Poliquetos_Annelida_Polychaeta_de_Mexico/links/59da6d330f7e9b12b36d888b/Poliquetos-Annelida-Polychaeta-de-Mexico.pdf,Inferred from Bacillariophyceae
118,Diatoms_pennate,Diatoms,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Primary producer,LeonGonzalez_etal_2009,https://www.researchgate.net/profile/Angel-De-Leon-2/publication/273705391_Poliquetos_Annelida_Polychaeta_de_Mexico/links/59da6d330f7e9b12b36d888b/Poliquetos-Annelida-Polychaeta-de-Mexico.pdf,Inferred from Bacillariophyceae
119,Zooplankton *,Zooplankton,Amphisbetia_operculata,Cnidaria,Suspension-feeder,Heterotroph,Encyclopedia of Life,https://eol.org/pages/46552357,* need to be more specific (which Zooplankton?)
120,Trophon_ohlini,Gastropoda,Anasterias_antarctica,Echinodermata,Hunter,Heterotroph,Gordillo&Archuby_2012,https://doi.org/10.4202/app.2010.0116,Inferred from Trophon_geversianus
121,Trophon_plicatus,Gastropoda,Anasterias_antarctica,Echinodermata,Hunter,Heterotroph,Gordillo&Archuby_2012,https://doi.org/10.4202/app.2010.0116,Inferred from Trophon_geversianus
122,Isopoda *,Isopoda,Anasterias_antarctica,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.,NA,* need to be more specific (which Isopoda?)
123,Phytoplankton *,Phytoplankton,Anasterias_antarctica,Echinodermata,Grazer,Primary producer,Fraysse_pers.com.,NA,
124,Callochiton_puniceus,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
125,Leptochiton_kerguelensis,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
126,Leptochiton_medinae,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
127,Nuttallochiton_hyadesi,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
128,Nuttallochiton_martiali,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
129,Tonicia_lebruni,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
130,Isopoda *,Isopoda,Anasterias_pedicellaris,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.,NA,* need to be more specific (which Isopoda?)
131,Phytoplankton *,Phytoplankton,Anasterias_pedicellaris,Echinodermata,Grazer,Primary producer,Fraysse_pers.com.,NA,
132,Halicarcinus_planatus,Decapoda,Anasterias_sp,Echinodermata,Hunter,Heterotroph,Gil&Zaixso_2008,https://www.redalyc.org/articulo.oa?id=44920273018,Inferred from Anasterias_minuta
133,Pagurus_comptus,Decapoda,Anasterias_sp,Echinodermata,Hunter,Heterotroph,Gil&Zaixso_2008,https://www.redalyc.org/articulo.oa?id=44920273018,Inferred from Anasterias_minuta
134,Pareuthria_atrata,Gastropoda,Anasterias_sp,Echinodermata,Hunter,Heterotroph,Gil&Zaixso_2008,https://www.redalyc.org/articulo.oa?id=44920273018,Inferred from Anasterias_minuta & Pareuthria_plumbea
