ID,Prey,PreyGroup,Predator,PredGroup,PredStrategy,FoodSource,Reference,Reference_link,Observation
12,Diatoms_benthic,Diatoms,Abyssianira_spp,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Bacillariophyceae
13,Diatoms_centric,Diatoms,Abyssianira_spp,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Bacillariophyceae
14,Diatoms_pennate,Diatoms,Abyssianira_spp,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Bacillariophyceae
15,Detritus,Non-living,Acanthoserolis_schythei,Isopoda,Deposit-feeder,Detritus,LeBourg_PhDTesis_2020,https://www.researchgate.net/publication/342305523_Trophic_ecology_of_Southern_Ocean_sea_stars_Influence_of_environmental_drivers_on_trophic_diversity,
16,Necromass,Non-living,Acodontaster_elongatus,Echinodermata,Scavenger,Necromass,Fraysse_pers.com.,NA,
17,Porifera *,Porifera,Acodontaster_elongatus,Echinodermata,Hunter,Heterotroph,Encyclopedia of Life,https://eol.org/pages/45328534,* need to be more specific (which Porifera?)
18,Necromass,Non-living,Acodontaster_sp,Echinodermata,Scavenger,Necromass,Fraysse_pers.com.,NA,
19,Foraminifera,Foraminifera,Actinauge_longicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from Actinauge cristata
20,Ampharete_kerguelensis,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Ampharete,
21,Eteone_sp,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Eteone,* need to be more specific (which Actinopterygii?)
22,Nephtys_sp,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Nephtys,
23,Orbiniidae,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Orbiniidae,
24,Paraonidae,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Paraonidae,
25,Terebellides_malvinensis,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Terebellides,* need to be more specific (which Actinopterygii?)
26,Travisia_kerguelensis,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Travisia,
27,Eatoniella_spp,Gastropoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Gastropoda (< 3 mm)
28,Liotella_crassicostata,Gastropoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Gastropoda (< 3 mm)
29,Odostomia_sp,Gastropoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Gastropoda (< 3 mm)
30,Onoba_spp,Gastropoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Gastropoda (< 3 mm)
31,Polycheria_spp,Amphipoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Amphipoda (=< 6 mm)
32,Scissurella_clathrata,Gastropoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Gastropoda (< 3 mm)
33,Eurhomalea_sp,Bivalvia,Adelomelon_ancilla,Gastropoda,Hunter,Heterotroph,Encyclopedia of Life,https://eol.org/pages/46469961,
34,Fusitriton_magellanicus,Gastropoda,Adelomelon_ancilla,Gastropoda,Hunter,Heterotroph,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,
35,Zooplankton *,Zooplankton,Adelomelon_ancilla,Gastropoda,Hunter,Heterotroph,Pastorino_pers.com.,NA,Inferred from Volutidae; * need to be more specific (which Zooplankton?)
36,Zygochlamys_patagonica,Bivalvia,Adelomelon_ancilla,Gastropoda,Hunter,Heterotroph,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,
37,Detritus,Non-living,Advenogonium_fuegiae,Isopoda,Deposit-feeder,Detritus,Doti_pers.com.,NA,
38,Amphipoda *,Amphipoda,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Aglaophamus,* need to be more specific (which Amphipoda?)
39,Eteone_aurantiaca,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Phyllodocidae,
40,Eteone_sp,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Phyllodocidae,
41,Foraminifera,Foraminifera,Aglaophamus_virginis,Polychaeta,Deposit-feeder,Primary producer,Jumars_etal_2015,https://doi.org/10.1146/annurev-marine-010814-020007,Inferred from Aglaophamus_circinata
42,Lumbrineriidae,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Aglaophamus,
43,Orbiniidae,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Orbiniidae,
44,Polynoidae *,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Aglaophamus,* need to be more specific (which Polynoidae?)
45,Syllidae,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Syllidae,
46,Diatoms_benthic,Diatoms,Alcyonium_antarcticum,Cnidaria,Suspension-feeder,Primary producer,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,Inferred from Bacillariophyceae
47,Diatoms_centric,Diatoms,Alcyonium_antarcticum,Cnidaria,Suspension-feeder,Primary producer,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,Inferred from Bacillariophyceae
48,Diatoms_pennate,Diatoms,Alcyonium_antarcticum,Cnidaria,Suspension-feeder,Primary producer,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,Inferred from Bacillariophyceae
49,Phytoplankton *,Phytoplankton,Alcyonium_antarcticum,Cnidaria,Suspension-feeder,Primary producer,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,
50,Detritus,Non-living,Allorostrata_ovalis,Isopoda,Deposit-feeder,Detritus,Doti_pers.com.,NA,
51,Detritus,Non-living,Allorostrata_scutifrons,Isopoda,Deposit-feeder,Detritus,Doti_pers.com.,NA,
52,Acanthoserolis_schythei,Isopoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
53,Aglaophamus_virginis,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
54,Austrocidaris_canaliculata,Echinodermata,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
55,Austrocidaris_spinulosida,Echinodermata,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
56,Boccardia_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
57,Copepoda *,Zooplankton,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,* need to be more specific (which Copepoda?)
58,Doryteuthis_gahi,Cephalopoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
59,Echinoidea *,Echinodermata,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,* need to be more specific (which Echinoidea?)
60,Eucranta_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
61,Euphausia_spp,Zooplankton,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
62,Harmothoe_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
63,Hermadion_magalhaensi,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
64,Lepidonotothen_squamifrons,Fish_BenPel,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
65,Metepimeria_acanthurus,Amphipoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
66,Muraenolepis_marmorata,Fish_BenPel,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
67,Muraenolepis_orangiensis,Fish_BenPel,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
68,Muraenolepis_sp,Fish_BenPel,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
69,Natatolana_pastorei,Isopoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
70,Neoserolis_exigua,Isopoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
71,Nephtys_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
72,Ophiuroidea *,Echinodermata,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,* need to be more specific (which Ophiuroidea?)
73,Patagonotothen_guntheri,Fish_BenPel,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
74,Polydora_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
75,Polyeunoa_laevis,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
76,Spiophanes_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
77,Themisto_gaudichaudii,Amphipoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
78,Trophon_geversianus,Gastropoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
79,Trophon_ohlini,Gastropoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
80,Trophon_plicatus,Gastropoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
81,Bacteria,Bacteria,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Bacteria,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Ampharete,
82,Ciliophora *,Ciliates,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Ampharete,
83,Detritus,Non-living,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Detritus,Jumars_etal_2015,https://doi.org/10.1146/annurev-marine-010814-020007,Inferred from Ampharete_arctica
84,Diatoms_benthic,Diatoms,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Primary producer,LeonGonzalez_etal_2009,https://www.researchgate.net/profile/Angel-De-Leon-2/publication/273705391_Poliquetos_Annelida_Polychaeta_de_Mexico/links/59da6d330f7e9b12b36d888b/Poliquetos-Annelida-Polychaeta-de-Mexico.pdf,Inferred from Bacillariophyceae
85,Diatoms_centric,Diatoms,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Primary producer,LeonGonzalez_etal_2009,https://www.researchgate.net/profile/Angel-De-Leon-2/publication/273705391_Poliquetos_Annelida_Polychaeta_de_Mexico/links/59da6d330f7e9b12b36d888b/Poliquetos-Annelida-Polychaeta-de-Mexico.pdf,Inferred from Bacillariophyceae
86,Diatoms_pennate,Diatoms,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Primary producer,LeonGonzalez_etal_2009,https://www.researchgate.net/profile/Angel-De-Leon-2/publication/273705391_Poliquetos_Annelida_Polychaeta_de_Mexico/links/59da6d330f7e9b12b36d888b/Poliquetos-Annelida-Polychaeta-de-Mexico.pdf,Inferred from Bacillariophyceae
87,Foraminifera,Foraminifera,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Primary producer,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Ampharete,
88,Zooplankton *,Zooplankton,Amphisbetia_operculata,Cnidaria,Suspension-feeder,Heterotroph,Encyclopedia of Life,https://eol.org/pages/46552357,* need to be more specific (which Zooplankton?)
89,Isopoda *,Isopoda,Anasterias_antarctica,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.,NA,* need to be more specific (which Isopoda?)
90,Phytoplankton *,Phytoplankton,Anasterias_antarctica,Echinodermata,Grazer,Primary producer,Fraysse_pers.com.,NA,
91,Trophon_geversianus,Gastropoda,Anasterias_antarctica,Echinodermata,Hunter,Heterotroph,Gordillo&Archuby_2012,https://doi.org/10.4202/app.2010.0116,
92,Trophon_ohlini,Gastropoda,Anasterias_antarctica,Echinodermata,Hunter,Heterotroph,Gordillo&Archuby_2012,https://doi.org/10.4202/app.2010.0116,Inferred from Trophon_geversianus
93,Trophon_plicatus,Gastropoda,Anasterias_antarctica,Echinodermata,Hunter,Heterotroph,Gordillo&Archuby_2012,https://doi.org/10.4202/app.2010.0116,Inferred from Trophon_geversianus
94,Callochiton_puniceus,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
95,Leptochiton_kerguelensis,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
96,Leptochiton_medinae,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
97,Nuttallochiton_hyadesi,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
98,Nuttallochiton_martiali,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
99,Tonicia_lebruni,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
100,Isopoda *,Isopoda,Anasterias_pedicellaris,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.,NA,* need to be more specific (which Isopoda?)
101,Phytoplankton *,Phytoplankton,Anasterias_pedicellaris,Echinodermata,Grazer,Primary producer,Fraysse_pers.com.,NA,
102,Halicarcinus_planatus,Decapoda,Anasterias_sp,Echinodermata,Hunter,Heterotroph,Gil&Zaixso_2008,https://www.redalyc.org/articulo.oa?id=44920273018,Inferred from Anasterias_minuta
103,Harmothoe_sp,Polychaeta,Anasterias_sp,Echinodermata,Hunter,Heterotroph,Gil&Zaixso_2008,https://www.redalyc.org/articulo.oa?id=44920273018,Inferred from Anasterias_minuta
104,Isopoda *,Isopoda,Anasterias_sp,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.,NA,* need to be more specific (which Isopoda?)
105,Pagurus_comptus,Decapoda,Anasterias_sp,Echinodermata,Hunter,Heterotroph,Gil&Zaixso_2008,https://www.redalyc.org/articulo.oa?id=44920273018,Inferred from Anasterias_minuta
106,Pareuthria_atrata,Gastropoda,Anasterias_sp,Echinodermata,Hunter,Heterotroph,Gil&Zaixso_2008,https://www.redalyc.org/articulo.oa?id=44920273018,Inferred from Anasterias_minuta & Pareuthria_plumbea
107,Pareuthria_fuscata,Gastropoda,Anasterias_sp,Echinodermata,Hunter,Heterotroph,Gil&Zaixso_2008,https://www.redalyc.org/articulo.oa?id=44920273018,Inferred from Anasterias_minuta & Pareuthria_plumbea
108,Pareuthria_venustula,Gastropoda,Anasterias_sp,Echinodermata,Hunter,Heterotroph,Gil&Zaixso_2008,https://www.redalyc.org/articulo.oa?id=44920273018,Inferred from Anasterias_minuta & Pareuthria_plumbea
109,Phytoplankton *,Phytoplankton,Anasterias_sp,Echinodermata,Grazer,Primary producer,Fraysse_pers.com.,NA,
110,Tonicia_lebruni,Polyplacophora,Anasterias_sp,Echinodermata,Hunter,Heterotroph,Gil&Zaixso_2008,https://www.redalyc.org/articulo.oa?id=44920273018,Inferred from Anasterias_minuta
111,Trophon_geversianus,Gastropoda,Anasterias_sp,Echinodermata,Hunter,Heterotroph,Gil&Zaixso_2008,https://www.redalyc.org/articulo.oa?id=44920273018,Inferred from Anasterias_minuta
112,Turbonilla_strebeli,Gastropoda,Anasterias_sp,Echinodermata,Hunter,Heterotroph,Gil&Zaixso_2008,https://www.redalyc.org/articulo.oa?id=44920273018,Inferred from Anasterias_minuta
113,Cnidaria *,Cnidaria,Andaniotes_linearis,Amphipoda,Suspension-feeder,Heterotroph,Coleman_1992,http://dx.doi.org/10.1080/00785326.1992.10430364,* need to be more specific (which Cnidaria?)
114,Necromass,Non-living,Andaniotes_linearis,Amphipoda,Suspension-feeder,Heterotroph,Berge&Vader_2001,https://doi.org/10.1111/j.1096-3642.2001.tb00638.x,
115,Detritus,Non-living,Anobothrus_sp,Polychaeta,Deposit-feeder,Detritus,Jumars_etal_2015,https://doi.org/10.1146/annurev-marine-010814-020007,Inferred from Anobothrus_gracilis
116,Cyrtostrombidium_sp,Ciliates,Anthoptilum_grandiflorum,Cnidaria,Suspension-feeder,Heterotroph,Marina_etal_2018,https://doi.org/10.1016/j.ecss.2017.10.015,"Inferred from Malacobelemnon daytoni (Pennatulacea, Potter Cove FW)"
117,Detritus,Non-living,Anthoptilum_grandiflorum,Cnidaria,Suspension-feeder,Detritus,,,
118,Diatoms_benthic,Diatoms,Anthoptilum_grandiflorum,Cnidaria,Suspension-feeder,Primary producer,Marina_etal_2018,https://doi.org/10.1016/j.ecss.2017.10.015,Inferred from Potter Cove FW (Antarctic Peninsula)
119,Dinoflagellates_heterosol,Dinoflagellates,Anthoptilum_grandiflorum,Cnidaria,Suspension-feeder,Heterotroph,Marina_etal_2018,https://doi.org/10.1016/j.ecss.2017.10.015,"Inferred from Malacobelemnon daytoni (Pennatulacea, Potter Cove FW)"
120,Laboea_strobila,Ciliates,Anthoptilum_grandiflorum,Cnidaria,Suspension-feeder,Heterotroph,Marina_etal_2018,https://doi.org/10.1016/j.ecss.2017.10.015,"Inferred from Malacobelemnon daytoni (Pennatulacea, Potter Cove FW)"
121,Lohmanniella_sp,Ciliates,Anthoptilum_grandiflorum,Cnidaria,Suspension-feeder,Heterotroph,Marina_etal_2018,https://doi.org/10.1016/j.ecss.2017.10.015,"Inferred from Malacobelemnon daytoni (Pennatulacea, Potter Cove FW)"
122,Strobilidium_sp,Ciliates,Anthoptilum_grandiflorum,Cnidaria,Suspension-feeder,Heterotroph,Marina_etal_2018,https://doi.org/10.1016/j.ecss.2017.10.015,"Inferred from Malacobelemnon daytoni (Pennatulacea, Potter Cove FW)"
123,Strombidinopsis_sp,Ciliates,Anthoptilum_grandiflorum,Cnidaria,Suspension-feeder,Heterotroph,Marina_etal_2018,https://doi.org/10.1016/j.ecss.2017.10.015,"Inferred from Malacobelemnon daytoni (Pennatulacea, Potter Cove FW)"
124,Strombidium_conicum,Ciliates,Anthoptilum_grandiflorum,Cnidaria,Suspension-feeder,Heterotroph,Marina_etal_2018,https://doi.org/10.1016/j.ecss.2017.10.015,"Inferred from Malacobelemnon daytoni (Pennatulacea, Potter Cove FW)"
125,Strombidium_sp,Ciliates,Anthoptilum_grandiflorum,Cnidaria,Suspension-feeder,Heterotroph,Marina_etal_2018,https://doi.org/10.1016/j.ecss.2017.10.015,"Inferred from Malacobelemnon daytoni (Pennatulacea, Potter Cove FW)"
126,Cirratulidae,Polychaeta,Anthozoa *,Cnidaria,Suspension-feeder,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Cirratulidae,* need to be more specific (which Anthozoa?)
127,Orbiniidae,Polychaeta,Anthozoa *,Cnidaria,Suspension-feeder,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Orbiniidae,
128,Polydora_sp,Polychaeta,Anthozoa *,Cnidaria,Suspension-feeder,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Polydora,* need to be more specific (which Anthozoa?)
129,Azadinium_sp,Dinoflagellates,Aplidium_falklandicum,Ascidiacea,Suspension-feeder,Primary producer,Tatian_pers.com.,NA,Chequear si están en el rango 0.2-500 micrometros
130,Bacteria,Bacteria,Aplidium_falklandicum,Ascidiacea,Suspension-feeder,Bacteria,Tatian_pers.com.,NA,
