ID,Prey,PreyGroup,Predator,PredGroup,PredStrategy,FoodSource,Reference,Reference_link,Observation
12,Diatoms_benthic,Diatoms,Abyssianira_spp,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Bacillariophyceae
13,Diatoms_centric,Diatoms,Abyssianira_spp,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Bacillariophyceae
14,Diatoms_pennate,Diatoms,Abyssianira_spp,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Bacillariophyceae
15,Detritus,Non-living,Acanthoserolis_schythei,Isopoda,Deposit-feeder,Detritus,LeBourg_PhDTesis_2020,https://www.researchgate.net/publication/342305523_Trophic_ecology_of_Southern_Ocean_sea_stars_Influence_of_environmental_drivers_on_trophic_diversity,
16,Porifera *,Porifera,Acodontaster_elongatus,Echinodermata,Hunter,Heterotroph,Encyclopedia of Life,https://eol.org/pages/45328534,* need to be more specific (which Porifera?)
17,Necromass,Non-living,Acodontaster_elongatus,Echinodermata,Scavenger,Necromass,Fraysse_pers.com.,NA,
18,Necromass,Non-living,Acodontaster_sp,Echinodermata,Scavenger,Necromass,Fraysse_pers.com.,NA,
19,Foraminifera,Foraminifera,Actinauge_longicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from Actinauge cristata
20,Ampharete_kerguelensis,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Ampharete,
21,Eteone_sp,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Eteone,* need to be more specific (which Actinopterygii?)
22,Nephtys_sp,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Nephtys,
23,Orbiniidae,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Orbiniidae,
24,Paraonidae,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Paraonidae,
25,Terebellides_malvinensis,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Terebellides,* need to be more specific (which Actinopterygii?)
26,Travisia_kerguelensis,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Travisia,
27,Polycheria_spp,Amphipoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Amphipoda (=< 6 mm)
28,Eatoniella_spp,Gastropoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Gastropoda (< 3 mm)
29,Liotella_crassicostata,Gastropoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Gastropoda (< 3 mm)
30,Odostomia_sp,Gastropoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Gastropoda (< 3 mm)
31,Onoba_spp,Gastropoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Gastropoda (< 3 mm)
32,Scissurella_clathrata,Gastropoda,Actinostola_crassicornis,Cnidaria,Suspension-feeder,Heterotroph,Sun_etal_2022,https://doi.org/10.1016/j.dsr.2021.103678,Inferred from size of Gastropoda (< 3 mm)
33,Zygochlamys_patagonica,Bivalvia,Adelomelon_ancilla,Gastropoda,Hunter,Heterotroph,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,
34,Fusitriton_magellanicus,Gastropoda,Adelomelon_ancilla,Gastropoda,Hunter,Heterotroph,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,
35,Eurhomalea_sp,Bivalvia,Adelomelon_ancilla,Gastropoda,Hunter,Heterotroph,Encyclopedia of Life,https://eol.org/pages/46469961,
36,Zooplankton *,Zooplankton,Adelomelon_ancilla,Gastropoda,Hunter,Heterotroph,Pastorino_pers.com.,NA,Inferred from Volutidae; * need to be more specific (which Zooplankton?)
37,Detritus,Non-living,Advenogonium_fuegiae,Isopoda,Deposit-feeder,Detritus,Doti_pers.com.,NA,
38,Detritus,Non-living,Aega_semicarinata,Isopoda,Suspension-feeder,Detritus,GATEWAy,https://doi.org/10.25829/iDiv.283-3-756,Inferred from Weddell Sea FW
39,Foraminifera,Foraminifera,Aglaophamus_virginis,Polychaeta,Deposit-feeder,Primary producer,Jumars_etal_2015,https://doi.org/10.1146/annurev-marine-010814-020007,Inferred from Aglaophamus_circinata
40,Amphipoda *,Amphipoda,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Aglaophamus,* need to be more specific (which Amphipoda?)
41,Lumbrineridae,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Aglaophamus,
42,Polynoidae *,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Aglaophamus,* need to be more specific (which Polynoidae?)
43,Orbiniidae,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Orbiniidae,
44,Eteone_aurantiaca,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Phyllodocidae,
45,Eteone_sp,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Phyllodocidae,
46,Syllidae,Polychaeta,Aglaophamus_virginis,Polychaeta,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Syllidae,
47,Themisto_gaudichaudii,Zooplankton,Agonopsis_chiloensis,Fish_BenPel,Hunter,Heterotroph,Arbour_etal_2010,https://doi.org/10.1007/s10641-010-9607-z,Inferred from Agonidae
48,Isopoda *,Isopoda,Agonopsis_chiloensis,Fish_BenPel,Hunter,Heterotroph,Arbour_etal_2010,https://doi.org/10.1007/s10641-010-9607-z,* need to be more specific (which Isopoda?)
49,Euphausia_spp,Zooplankton,Agonopsis_chiloensis,Fish_BenPel,Hunter,Heterotroph,Arbour_etal_2010,https://doi.org/10.1007/s10641-010-9607-z,
50,Copepoda *,Copepoda,Agonopsis_chiloensis,Fish_BenPel,Hunter,Heterotroph,Arbour_etal_2010,https://doi.org/10.1007/s10641-010-9607-z,* need to be more specific (which Copepoda?)
51,Diatoms_benthic,Diatoms,Alcyonium_antarcticum,Coral,Suspension-feeder,Primary producer,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,Inferred from Bacillariophyceae
52,Diatoms_centric,Diatoms,Alcyonium_antarcticum,Coral,Suspension-feeder,Primary producer,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,Inferred from Bacillariophyceae
53,Diatoms_pennate,Diatoms,Alcyonium_antarcticum,Coral,Suspension-feeder,Primary producer,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,Inferred from Bacillariophyceae
54,Phytoplankton *,Phytoplankton,Alcyonium_antarcticum,Coral,Suspension-feeder,Primary producer,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,
55,Detritus,Non-living,Allorostrata_ovalis,Isopoda,Deposit-feeder,Detritus,Doti_pers.com.,NA,
56,Detritus,Non-living,Allorostrata_scutifrons,Isopoda,Deposit-feeder,Detritus,Doti_pers.com.,NA,
57,Tryphosella_sp,Amphipoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
58,Hydrozoa *,Cnidaria,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,* need to be more specific (which Hydrozoa?)
59,Libidoclaea_granaria,Decapoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
60,Eurypodius_latreillii,Decapoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
61,Grimothea_subrugosa,Decapoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
62,Sympagurus_dimorphus,Decapoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
63,Campylonotus_vagans,Decapoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
64,Asteroidea *,Echinodermata,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,* need to be more specific (which Asteroidea?)
65,Ophiuroidea *,Echinodermata,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,* need to be more specific (which Ophiuroidea?)
66,Patagonotothen_ramsayi,Fish_BenPel,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
67,Acanthoserolis_schythei,Isopoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
68,Natatolana_pastorei,Isopoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Cirolanidae
69,Macrochiridothea_stebbingi,Isopoda,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
70,Onuphis_pseudoiridescens,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Onuphis_emerita
71,Pista_sp,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Terebellidae
72,Terebellides_malvinensis,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
73,Nicolea_chilensis,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
74,Thelepus_sp,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
75,Eteone_sp,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Phyllodocidae
76,Glycera_spp,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Glyceridae
77,Eunereis_patagonica,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Nereididae
78,Nicon_maculata,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Nereididae
79,Serpula_spp,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Serpulidae
80,Aglaophamus_virginis,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Nephtyidae
81,Nephtys_sp,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,Inferred from Nephtyidae
82,Lumbrineridae,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
83,Orbiniidae,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
84,Maldanidae,Polychaeta,Amblyraja_doellojuradoi,Fish_Chond,Hunter,Heterotroph,Delpiani_etal_2013,https://doi.org/10.1017/S0025315413000787,
85,Metepimeria_acanthurus,Amphipoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
86,Themisto_gaudichaudii,Zooplankton,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
87,Doryteuthis_gahi,Cephalopoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
88,Austrocidaris_canaliculata,Echinodermata,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
89,Austrocidaris_spinulosida,Echinodermata,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
90,Echinoidea *,Echinodermata,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,* need to be more specific (which Echinoidea?)
91,Ophiuroidea *,Echinodermata,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,* need to be more specific (which Ophiuroidea?)
92,Lepidonotothen_squamifrons,Fish_BenPel,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
93,Muraenolepis_marmorata,Fish_BenPel,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
94,Muraenolepis_orangiensis,Fish_BenPel,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
95,Muraenolepis_sp,Fish_BenPel,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
96,Patagonotothen_guntheri,Fish_BenPel,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
97,Trophon_ohlini,Gastropoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
98,Trophon_plicatus,Gastropoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
99,Acanthoserolis_schythei,Isopoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
100,Natatolana_pastorei,Isopoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
101,Neoserolis_exigua,Isopoda,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
102,Aglaophamus_virginis,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
103,Boccardia_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
104,Eucranta_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
105,Harmothoe_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
106,Hermadion_magalhaensi,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
107,Nephtys_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
108,Polydora_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
109,Polyeunoa_laevis,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
110,Spiophanes_sp,Polychaeta,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
111,Copepoda *,Zooplankton,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,* need to be more specific (which Copepoda?)
112,Euphausia_spp,Zooplankton,Amblyraja_georgiana,Fish_Demersal,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Amblyraja%20georgiana,
113,Detritus,Non-living,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Detritus,Jumars_etal_2015,https://doi.org/10.1146/annurev-marine-010814-020007,Inferred from Ampharete_arctica
114,Bacteria,Bacteria,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Bacteria,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Ampharete,
115,Ciliophora *,Ciliates,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Ampharete,
116,Foraminifera,Foraminifera,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Primary producer,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Ampharete,
117,Diatoms_benthic,Diatoms,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Primary producer,LeonGonzalez_etal_2009,https://www.researchgate.net/profile/Angel-De-Leon-2/publication/273705391_Poliquetos_Annelida_Polychaeta_de_Mexico/links/59da6d330f7e9b12b36d888b/Poliquetos-Annelida-Polychaeta-de-Mexico.pdf,Inferred from Bacillariophyceae
118,Diatoms_centric,Diatoms,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Primary producer,LeonGonzalez_etal_2009,https://www.researchgate.net/profile/Angel-De-Leon-2/publication/273705391_Poliquetos_Annelida_Polychaeta_de_Mexico/links/59da6d330f7e9b12b36d888b/Poliquetos-Annelida-Polychaeta-de-Mexico.pdf,Inferred from Bacillariophyceae
119,Diatoms_pennate,Diatoms,Ampharete_kerguelensis,Polychaeta,Deposit-feeder,Primary producer,LeonGonzalez_etal_2009,https://www.researchgate.net/profile/Angel-De-Leon-2/publication/273705391_Poliquetos_Annelida_Polychaeta_de_Mexico/links/59da6d330f7e9b12b36d888b/Poliquetos-Annelida-Polychaeta-de-Mexico.pdf,Inferred from Bacillariophyceae
120,Zooplankton *,Zooplankton,Amphisbetia_operculata,Cnidaria,Suspension-feeder,Heterotroph,Encyclopedia of Life,https://eol.org/pages/46552357,* need to be more specific (which Zooplankton?)
121,Trophon_ohlini,Gastropoda,Anasterias_antarctica,Echinodermata,Hunter,Heterotroph,Gordillo&Archuby_2012,https://doi.org/10.4202/app.2010.0116,Inferred from Trophon_geversianus
122,Trophon_plicatus,Gastropoda,Anasterias_antarctica,Echinodermata,Hunter,Heterotroph,Gordillo&Archuby_2012,https://doi.org/10.4202/app.2010.0116,Inferred from Trophon_geversianus
123,Isopoda *,Isopoda,Anasterias_antarctica,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.,NA,* need to be more specific (which Isopoda?)
124,Phytoplankton *,Phytoplankton,Anasterias_antarctica,Echinodermata,Grazer,Primary producer,Fraysse_pers.com.,NA,
125,Callochiton_puniceus,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
126,Leptochiton_kerguelensis,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
127,Leptochiton_medinae,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
128,Nuttallochiton_hyadesi,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
129,Nuttallochiton_martiali,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
130,Tonicia_lebruni,Polyplacophora,Anasterias_antarctica *,Echinodermata,Hunter,Heterotroph,Urteaga_pers.com.,NA,* consultar con expertas en Asteroidea por disco oral (1-4 cm tamaño quitones)
131,Isopoda *,Isopoda,Anasterias_pedicellaris,Echinodermata,Hunter,Heterotroph,Fraysse_pers.com.,NA,* need to be more specific (which Isopoda?)
132,Phytoplankton *,Phytoplankton,Anasterias_pedicellaris,Echinodermata,Grazer,Primary producer,Fraysse_pers.com.,NA,
133,Halicarcinus_planatus,Decapoda,Anasterias_sp,Echinodermata,Hunter,Heterotroph,Gil&Zaixso_2008,https://www.redalyc.org/articulo.oa?id=44920273018,Inferred from Anasterias_minuta
134,Pagurus_comptus,Decapoda,Anasterias_sp,Echinodermata,Hunter,Heterotroph,Gil&Zaixso_2008,https://www.redalyc.org/articulo.oa?id=44920273018,Inferred from Anasterias_minuta
